fov,sep,width,vel,dps,foot
3.2,877.0,854.417,100.0,34.0,47.431
3.2,879.0,846.157,105.0,34.0,47.484
3.2,881.0,837.795,105.0,34.0,47.5895
3.2,883.0,829.33,105.0,34.0,47.6954
3.2,885.0,820.759,105.0,34.0,47.8016
3.2,887.0,812.077,110.0,34.0,47.8584
3.2,889.0,803.281,110.0,34.0,47.9659
3.2,891.0,794.368,110.0,34.0,48.0738
3.2,893.0,785.334,115.0,34.0,48.1337
3.2,895.0,776.173,115.0,34.0,48.243
3.2,897.0,766.883,115.0,34.0,48.3527
3.2,899.0,757.457,120.0,34.0,48.4159
3.2,901.0,747.891,120.0,34.0,48.5271
3.2,903.0,738.179,125.0,34.0,48.5928
3.2,905.0,728.317,125.0,34.0,48.7055
3.2,907.0,718.296,125.0,34.0,48.8188
3.2,909.0,708.111,130.0,34.0,48.8882
3.2,911.0,697.754,130.0,34.0,49.0031
3.2,913.0,687.218,135.0,34.0,49.0754
3.2,915.0,676.495,135.0,34.0,49.192
3.2,917.0,665.574,140.0,34.0,49.2673
3.2,919.0,654.447,140.0,34.0,49.3859
3.2,921.0,643.103,140.0,34.0,49.505
3.2,923.0,631.529,140.0,34.0,49.6249
3.2,925.0,619.714,140.0,34.0,49.7454
3.2,927.0,607.642,140.0,34.0,49.8667
3.2,929.0,595.299,140.0,34.0,49.9888
3.2,931.0,582.667,140.0,34.0,50.1116
3.2,933.0,569.727,140.0,34.0,50.2353
3.2,935.0,556.457,140.0,34.0,50.3598
3.2,937.0,542.834,140.0,34.0,50.4853
3.2,939.0,528.83,140.0,34.0,50.6117
3.2,941.0,514.413,140.0,34.0,50.7391
3.2,943.0,499.549,140.0,34.0,50.8676
3.2,945.0,484.195,140.0,34.0,50.9973
3.2,947.0,468.304,140.0,34.0,51.1282
3.2,949.0,451.82,140.0,34.0,51.2604
3.2,951.0,434.673,140.0,34.0,51.3942
3.2,953.0,416.784,140.0,34.0,51.5295
3.2,955.0,398.051,140.0,34.0,51.6667
3.2,957.0,378.35,140.0,34.0,51.8059
3.2,959.0,357.521,140.0,34.0,51.9474
3.2,961.0,335.352,140.0,34.0,52.0917
3.2,963.0,311.559,140.0,34.0,52.2391
3.2,965.0,285.736,140.0,34.0,52.3905
3.2,967.0,257.272,140.0,34.0,52.547
3.2,969.0,225.169,140.0,34.0,52.7104
3.2,971.0,187.566,140.0,34.0,52.884
3.2,973.0,140.103,140.0,34.0,53.0756
3.4,791.0,834.988,100.0,36.0,46.3163
3.4,793.0,827.365,100.0,36.0,46.416
3.4,795.0,819.652,100.0,36.0,46.5161
3.4,797.0,811.846,100.0,36.0,46.6165
3.4,799.0,803.944,105.0,36.0,46.6684
3.4,801.0,795.943,105.0,36.0,46.77
3.4,803.0,787.841,105.0,36.0,46.872
3.4,805.0,779.634,105.0,36.0,46.9745
3.4,807.0,771.319,110.0,36.0,47.03
3.4,809.0,762.893,110.0,36.0,47.1337
3.4,811.0,754.351,110.0,36.0,47.2378
3.4,813.0,745.69,115.0,36.0,47.2964
3.4,815.0,736.905,115.0,36.0,47.4019
3.4,817.0,727.993,115.0,36.0,47.5078
3.4,819.0,718.947,120.0,36.0,47.5696
3.4,821.0,709.764,120.0,36.0,47.677
3.4,823.0,700.438,125.0,36.0,47.7412
3.4,825.0,690.963,125.0,36.0,47.8501
3.4,827.0,681.332,125.0,36.0,47.9596
